                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.6416,                 1.3961,                 1.7751,                0.81479,                 0.8343,                0.88103,                0.41457,                 1.5238,                 1.4163,                 1.6392,               0.001802,               0.001802,               0.001802
                     13,                 1.6177,                 1.3285,                  1.764,                0.85104,                 0.8304,                0.87536,                0.44588,                 1.5388,                 1.2353,                 1.6103,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6172,                 1.3375,                 1.7817,                0.66683,                0.85528,                0.76262,                0.32911,                 1.5592,                 1.4878,                 1.6819,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.5855,                 1.3161,                  1.752,                0.78391,                0.83312,                0.87348,                0.43023,                 1.5841,                 1.3068,                 1.6408,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.571,                 1.2855,                 1.7353,                0.93489,                0.87656,                0.93334,                0.51583,                 1.4129,                 1.0419,                 1.4843,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.5702,                 1.2419,                 1.7251,                0.84144,                0.87932,                0.92201,                0.49603,                 1.4496,                 1.0966,                 1.5398,               0.001703,               0.001703,               0.001703
                     18,                 1.5209,                 1.2485,                 1.6624,                0.86116,                0.93756,                0.94548,                0.50347,                 1.4408,                 1.1552,                 1.4875,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.512,                 1.2212,                 1.6789,                0.93144,                0.90841,                0.95711,                0.54818,                 1.3477,                0.93302,                 1.4781,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4911,                 1.1926,                 1.6544,                0.90516,                0.91558,                0.93625,                0.49995,                 1.3825,                 1.0677,                 1.4614,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4643,                 1.1589,                 1.6467,                0.87497,                  0.875,                0.89866,                 0.4799,                 1.4743,                 1.0355,                 1.6479,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.4688,                 1.1564,                 1.6548,                0.92204,                0.92733,                 0.9547,                0.52797,                 1.3942,                0.92405,                 1.4395,               0.001604,               0.001604,               0.001604
                     23,                 1.4803,                 1.1344,                 1.6327,                 0.8934,                0.89244,                0.94209,                0.54926,                 1.3022,                0.97178,                 1.4586,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4771,                 1.1446,                 1.6492,                0.92762,                0.93314,                0.95309,                 0.5168,                 1.2792,                 1.1109,                 1.3734,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4301,                 1.1299,                 1.6246,                0.92035,                0.92733,                0.94651,                0.56843,                 1.2849,                0.88292,                  1.388,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4242,                 1.1023,                 1.5852,                0.91935,                 0.9278,                0.95709,                0.56085,                 1.2612,                0.99608,                 1.3723,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4326,                 1.1501,                 1.6096,                0.93035,                0.93196,                0.95574,                0.55414,                 1.2985,                0.89579,                 1.4078,               0.001505,               0.001505,               0.001505
                     28,                 1.4115,                 1.0929,                 1.5786,                0.85742,                0.85658,                0.84854,                 0.4279,                 1.6613,                 1.2265,                  1.884,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.4412,                 1.1337,                  1.601,                0.93903,                 0.8955,                0.96157,                0.58116,                 1.2992,                0.89276,                 1.4059,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.3879,                 1.0824,                 1.5541,                0.91453,                0.94186,                0.94932,                0.58409,                 1.2143,                0.87082,                 1.3202,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3976,                 1.0623,                 1.5683,                0.94082,                0.91279,                0.95421,                0.55584,                 1.2909,                0.93158,                 1.3874,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.388,                 1.0371,                 1.5551,                0.88887,                0.86029,                0.90167,                0.54371,                 1.3348,                 1.0434,                 1.4586,               0.001406,               0.001406,               0.001406
                     33,                 1.3642,                 1.0442,                 1.5531,                0.93169,                0.93314,                0.96396,                0.60174,                 1.1711,                0.87351,                 1.3129,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3917,                 1.0722,                 1.5692,                0.87121,                0.82849,                0.89107,                 0.5175,                 1.3007,                 1.0531,                 1.4516,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3416,                 1.0342,                  1.533,                0.94001,                0.91104,                 0.9526,                0.55132,                 1.3241,                0.85358,                 1.3905,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3644,                 1.0428,                 1.5487,                0.94901,                0.95349,                0.95787,                0.60908,                  1.222,                0.86821,                 1.3592,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3693,                 1.0486,                 1.5617,                0.95483,                0.92182,                 0.9625,                0.57913,                 1.1864,                0.88598,                 1.3026,               0.001307,               0.001307,               0.001307
                     38,                 1.3361,                 1.0823,                 1.5341,                0.92914,                0.95287,                0.94871,                0.60178,                 1.1734,                0.88325,                 1.2671,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3241,                 1.0145,                 1.5141,                0.91781,                0.93314,                0.95517,                0.60053,                 1.2193,                0.90892,                  1.306,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3534,                 1.0165,                 1.5289,                0.94541,                0.95657,                0.96774,                 0.5882,                  1.198,                 0.8401,                 1.3171,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3101,                0.99853,                 1.4952,                0.92287,                0.94186,                0.95382,                 0.5826,                 1.2285,                0.87363,                 1.3452,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3147,                0.98272,                 1.4906,                0.94437,                0.93754,                0.95469,                0.57501,                 1.2436,                0.82077,                 1.3188,               0.001208,               0.001208,               0.001208
                     43,                  1.321,                 1.0003,                  1.517,                0.93669,                0.95349,                0.95533,                0.60406,                 1.2201,                0.87218,                 1.2845,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3178,                0.99266,                  1.509,                0.94925,                 0.9564,                 0.9654,                0.62192,                 1.1762,                0.78037,                 1.3278,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3294,                0.98597,                 1.5173,                 0.9393,                0.94465,                0.96604,                0.60277,                 1.2535,                0.78686,                 1.3081,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2971,                0.95965,                 1.4974,                0.89575,                0.92733,                 0.9513,                0.61052,                 1.1293,                0.83075,                 1.2378,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3162,                0.96231,                 1.4957,                0.93923,                 0.9593,                0.95829,                0.63189,                 1.1548,                0.76997,                 1.2678,               0.001109,               0.001109,               0.001109
                     48,                 1.2699,                0.95507,                 1.4724,                0.95894,                0.95046,                 0.9659,                0.61785,                 1.1971,                0.74986,                 1.2741,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3312,                 0.9591,                 1.5016,                0.94676,                 0.9593,                0.95548,                0.59656,                 1.2466,                0.78529,                 1.3405,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2877,                0.97251,                 1.4789,                0.89553,                0.92733,                0.96228,                0.63129,                 1.1408,                0.82277,                 1.2418,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2802,                0.93671,                  1.467,                0.92574,                0.93023,                0.93905,                0.55908,                  1.305,                0.82194,                 1.4374,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2812,                0.95379,                 1.4808,                0.95019,                 0.9428,                0.96175,                0.60314,                 1.2214,                 0.7308,                 1.3074,                0.00101,                0.00101,                0.00101
                     53,                 1.2753,                0.94216,                 1.4647,                0.93843,                0.93895,                0.97136,                0.63406,                 1.1078,                 0.7886,                 1.2167,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.278,                0.93323,                 1.4899,                0.95744,                0.93314,                0.97077,                0.59414,                  1.184,                0.80837,                 1.2765,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2834,                0.96333,                 1.4902,                0.94171,                0.96512,                0.97003,                0.61723,                 1.2205,                0.77118,                 1.2724,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2901,                0.92914,                 1.4806,                 0.9232,                0.94477,                 0.9657,                0.59459,                 1.2281,                0.82648,                 1.2778,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2563,                0.91298,                 1.4383,                0.94259,                0.95454,                0.95777,                0.60691,                 1.1697,                0.75692,                 1.2906,               0.000911,               0.000911,               0.000911
                     58,                 1.2908,                0.93888,                 1.4592,                0.93303,                0.94767,                0.96396,                0.60208,                 1.2665,                0.74341,                 1.2704,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2578,                0.92613,                 1.4591,                0.95717,                 0.9564,                0.97046,                0.62577,                  1.176,                0.73499,                 1.2518,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2432,                0.87625,                 1.4404,                0.94944,                0.95349,                0.96932,                0.62496,                 1.1448,                 0.7664,                 1.2419,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2483,                0.87482,                 1.4148,                0.94552,                0.95864,                0.96965,                0.63569,                 1.1444,                0.75023,                 1.2376,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2445,                0.90012,                 1.4559,                0.93848,                0.97566,                0.97456,                 0.6325,                 1.1524,                0.72122,                 1.2417,               0.000812,               0.000812,               0.000812
                     63,                 1.2526,                 0.8639,                 1.4546,                 0.9564,                0.95649,                0.96945,                0.63419,                 1.1596,                0.72664,                 1.2335,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2503,                0.88888,                 1.4339,                0.94114,                0.94767,                0.96617,                0.63859,                 1.1416,                0.72979,                 1.2141,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2562,                0.85419,                 1.4523,                0.95091,                0.95732,                0.96044,                0.63888,                 1.1197,                0.72582,                 1.2076,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2352,                 0.8645,                 1.4285,                0.94609,                0.96938,                0.96663,                0.65152,                 1.0931,                0.73129,                 1.2075,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2561,                0.84561,                 1.4419,                0.92665,                0.95349,                0.96209,                0.62973,                  1.114,                0.75404,                 1.2074,               0.000713,               0.000713,               0.000713
                     68,                 1.2259,                 0.8793,                 1.4105,                0.94254,                0.96512,                0.96962,                0.65342,                  1.105,                0.70762,                 1.2079,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2348,                0.87385,                 1.4339,                0.94428,                0.97384,                0.96411,                0.63348,                 1.1157,                0.74696,                  1.202,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1816,                0.86068,                  1.393,                0.95194,                 0.9564,                0.96253,                0.64478,                 1.1069,                0.73526,                 1.2363,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2375,                 0.8616,                 1.4344,                0.94858,                0.96512,                0.96874,                0.61425,                  1.159,                0.74423,                 1.2254,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2263,                0.86524,                 1.4304,                0.93498,                0.96221,                0.96383,                0.65724,                 1.1232,                0.75044,                 1.2194,               0.000614,               0.000614,               0.000614
                     73,                 1.1988,                0.86906,                 1.4156,                0.94656,                0.97836,                0.96594,                0.66149,                 1.1096,                0.70892,                 1.1955,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2318,                0.86499,                 1.4257,                0.96301,                0.96221,                0.97861,                0.64251,                 1.1495,                0.68969,                  1.219,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.213,                0.83703,                 1.4144,                0.94672,                0.96221,                0.96568,                0.64595,                 1.0807,                0.69543,                 1.2021,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2212,                0.83288,                 1.4103,                 0.9589,                0.96221,                 0.9796,                0.65082,                 1.1231,                0.68391,                 1.2142,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2083,                0.83023,                 1.4311,                0.95063,                0.96221,                0.97042,                0.64768,                 1.1328,                0.70829,                 1.2054,               0.000515,               0.000515,               0.000515
                     78,                 1.2166,                0.82764,                 1.4279,                0.95669,                0.96802,                0.96979,                0.65835,                 1.1189,                0.69128,                 1.1985,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2103,                 0.8105,                 1.4046,                0.94565,                0.97674,                0.96958,                0.64207,                 1.1639,                 0.6927,                 1.2102,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1858,                0.82972,                 1.3939,                0.95344,                0.95252,                0.96713,                0.65982,                 1.1154,                0.69019,                 1.2068,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2057,                0.80425,                 1.3954,                0.95564,                 0.9593,                 0.9743,                0.66975,                 1.1196,                0.66397,                 1.2057,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1908,                0.81231,                 1.3962,                0.96353,                0.95349,                 0.9749,                0.66958,                 1.0936,                0.68935,                 1.1876,               0.000416,               0.000416,               0.000416
                     83,                 1.1894,                0.81656,                 1.4014,                0.95205,                0.96512,                 0.9709,                0.64697,                 1.1185,                0.66579,                 1.2017,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1901,                0.83174,                 1.3846,                0.95937,                0.96093,                0.96935,                0.68762,                 1.0824,                0.66519,                 1.1824,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1836,                0.78892,                 1.3841,                0.95345,                0.97384,                0.96643,                0.64018,                 1.1408,                0.69818,                 1.2047,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1814,                0.84435,                 1.3999,                0.94863,                0.96637,                0.96921,                0.66303,                 1.0702,                0.69209,                 1.1688,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1837,                0.78785,                 1.3933,                0.95427,                0.97069,                0.97034,                0.66334,                 1.1025,                0.67212,                  1.198,               0.000317,               0.000317,               0.000317
                     88,                 1.1635,                0.77468,                 1.3745,                0.95377,                0.96512,                0.97179,                0.67716,                 1.0892,                0.66399,                 1.1864,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1542,                0.79346,                 1.3663,                0.95438,                0.97305,                0.96805,                0.66103,                 1.1129,                0.65868,                 1.1925,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1545,                0.76303,                 1.3696,                0.95078,                0.97384,                0.96972,                0.67408,                 1.0771,                0.67823,                 1.1721,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0759,                0.64119,                 1.1942,                0.95588,                0.97384,                0.97278,                0.65783,                 1.1231,                0.66801,                  1.202,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0677,                0.62926,                 1.1759,                0.95326,                0.96802,                0.96962,                0.67777,                 1.0859,                0.66769,                  1.197,               0.000218,               0.000218,               0.000218
                     93,                 1.0898,                0.68382,                 1.2002,                0.95079,                0.98256,                0.97374,                0.67134,                 1.0935,                0.65471,                 1.1907,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0495,                0.60468,                 1.1621,                0.94824,                0.97965,                0.97408,                0.67762,                 1.0865,                0.64474,                 1.1826,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0516,                0.60687,                 1.1608,                0.94514,                0.97093,                0.97391,                0.67291,                 1.0752,                0.65018,                 1.1716,              0.0001586,              0.0001586,              0.0001586
                     96,                  1.047,                0.60709,                 1.1662,                0.95523,                0.96512,                0.97152,                0.66625,                 1.0926,                0.64106,                 1.1927,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0234,                0.59136,                 1.1634,                0.95404,                0.96552,                0.97267,                0.67933,                 1.0787,                0.64723,                 1.1776,               0.000119,               0.000119,               0.000119
                     98,                 1.0359,                0.60368,                 1.1653,                0.94648,                0.97674,                0.97597,                0.68193,                 1.0885,                0.63299,                  1.179,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0208,                0.59519,                 1.1472,                0.95949,                0.97093,                 0.9741,                0.68089,                 1.0901,                0.61981,                 1.1812,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0323,                0.59095,                 1.1495,                 0.9569,                0.96809,                0.97758,                0.68626,                 1.0835,                0.61826,                 1.1788,               5.96e-05,               5.96e-05,               5.96e-05
