                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8921,                 4.2834,                 3.8145,                0.00236,                 0.7907,                0.01741,                0.00489,                 3.1098,                 3.6745,                 5.8256,             0.00065882,             0.00065882,             0.00065882
                      2,                 2.8483,                 2.9093,                 2.8916,                0.18545,                0.14826,                0.08836,                 0.0264,                 2.6307,                 20.251,                   3.02,              0.0013124,              0.0013124,              0.0013124
                      3,                 2.4962,                 2.3945,                 2.6899,                0.16796,                 0.4186,                0.13485,                0.04074,                 2.1623,                 3.2553,                 2.4148,              0.0019527,              0.0019527,              0.0019527
                      4,                 2.2304,                 2.1019,                  2.447,                0.51269,                0.64535,                0.52686,                0.16794,                 2.3075,                 4.0983,                 2.6242,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1588,                 1.9479,                 2.3711,                0.36801,                0.41279,                0.36173,                 0.1209,                 1.9896,                 3.6286,                  2.079,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.9853,                 1.8339,                 2.1908,                0.66715,                0.73837,                0.70715,                0.29701,                 1.8636,                 1.5792,                 2.0022,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.8883,                 1.6439,                 2.0909,                0.58592,                0.68023,                0.64027,                0.27442,                 1.6507,                 1.7492,                  1.812,               0.001901,               0.001901,               0.001901
                      8,                 1.8075,                 1.4982,                 1.9834,                0.55797,                 0.5843,                0.63526,                0.26425,                 1.7693,                  2.489,                 2.0517,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7385,                 1.4895,                 1.9038,                  0.866,                0.81686,                0.87503,                0.40864,                 1.5377,                 1.2702,                 1.7338,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6722,                 1.4348,                 1.8566,                0.59049,                0.54912,                0.58491,                0.24259,                  2.019,                 1.8644,                 1.9501,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.6699,                 1.4326,                 1.8537,                0.81831,                0.72965,                0.80376,                0.36027,                 1.5782,                 1.6437,                 1.7486,              0.0018218,              0.0018218,              0.0018218
