                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.3478,                   1.02,                 1.4994,                0.93779,                 0.9641,                0.97105,                0.59993,                 1.2652,                0.78084,                 1.4224,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.3413,                0.98446,                 1.4984,                0.95402,                0.96496,                0.97366,                0.61966,                 1.2353,                0.74376,                 1.4467,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.3307,                0.95321,                 1.5004,                 0.9644,                0.94488,                0.97052,                0.62008,                 1.2646,                0.74628,                 1.4138,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.3281,                0.95501,                 1.4925,                0.92934,                0.94477,                 0.9574,                0.57064,                 1.3336,                0.81598,                 1.5287,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.3338,                0.93807,                 1.4892,                0.96879,                0.93314,                0.96424,                0.62703,                 1.2075,                 0.7242,                 1.3744,               0.009109,               0.009109,               0.009109
                     48,                 1.2971,                 0.9343,                 1.4571,                  0.953,                0.96221,                0.97437,                0.62815,                 1.2382,                0.71234,                 1.3872,              0.0090892,              0.0090892,              0.0090892
                     49,                  1.329,                0.92957,                 1.4764,                0.96105,                 0.9593,                0.96391,                0.61951,                 1.2436,                 0.7335,                 1.3791,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.3357,                0.95015,                 1.4826,                0.96216,                0.95349,                0.97074,                0.62173,                 1.2218,                0.73421,                  1.373,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.3026,                0.94583,                 1.4706,                0.95355,                0.95489,                0.96498,                0.62913,                 1.2058,                 0.7377,                 1.3615,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.3079,                0.94689,                 1.4757,                 0.9474,                0.96802,                0.96912,                0.61157,                 1.2452,                0.72448,                 1.3716,                0.00901,                0.00901,                0.00901
                     53,                 1.3044,                0.93175,                 1.4656,                0.96349,                0.96512,                0.97351,                0.64946,                 1.1966,                0.69763,                 1.3572,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.3078,                0.94587,                 1.4769,                0.95629,                0.93895,                0.96559,                0.62136,                 1.2295,                0.76352,                 1.3768,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.3161,                0.91557,                 1.4783,                 0.9653,                0.94186,                0.97363,                0.61676,                  1.269,                0.75354,                 1.4406,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.3221,                0.92032,                 1.4852,                0.96725,                0.96221,                0.97527,                0.62793,                 1.2749,                0.68194,                 1.4023,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.3155,                0.90556,                 1.4525,                  0.967,                0.93714,                 0.9531,                0.61004,                 1.2008,                0.81242,                 1.3767,               0.008911,               0.008911,               0.008911
                     58,                 1.3253,                0.94026,                 1.4746,                 0.9621,                0.95928,                0.97597,                 0.6355,                 1.2217,                0.68728,                 1.3649,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.2942,                0.90727,                 1.4677,                0.95719,                0.96512,                0.97375,                0.60267,                 1.2454,                 0.7224,                 1.4148,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.3011,                0.90677,                 1.4512,                0.95322,                 0.9593,                0.97052,                0.63014,                 1.2425,                0.71757,                 1.3901,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.3062,                0.90254,                 1.4405,                0.94063,                0.96714,                0.97924,                0.64433,                 1.1923,                0.71104,                 1.3539,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.2719,                0.87499,                 1.4486,                0.97323,                0.93605,                0.97893,                0.65177,                 1.2138,                0.68288,                 1.3324,               0.008812,               0.008812,               0.008812
                     63,                  1.287,                0.86743,                 1.4539,                0.94181,                0.97093,                0.97757,                0.65106,                  1.203,                0.68012,                  1.347,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.2738,                0.90284,                 1.4416,                0.94804,                0.94477,                0.97319,                0.60568,                 1.2575,                0.73416,                 1.3984,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.2967,                0.87857,                 1.4569,                0.93511,                0.96802,                0.96568,                0.64019,                  1.229,                0.67887,                 1.3638,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.3035,                0.88325,                 1.4498,                0.94896,                0.97282,                 0.9792,                0.63028,                 1.2314,                0.70587,                 1.3671,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.2868,                 0.8709,                 1.4529,                 0.9506,                0.94767,                0.96701,                0.63979,                 1.1872,                0.72575,                 1.3633,               0.008713,               0.008713,               0.008713
                     68,                   1.27,                0.89353,                 1.4216,                0.95523,                0.94767,                0.97363,                0.64239,                 1.1994,                0.71917,                 1.3448,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.2772,                0.87744,                 1.4405,                0.94552,                0.97384,                0.96694,                0.65444,                 1.1529,                0.69217,                 1.3094,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.2475,                0.88945,                 1.4238,                0.95109,                0.96091,                0.96917,                0.64189,                  1.206,                0.69676,                 1.3706,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.2809,                 0.8905,                 1.4526,                0.95486,                0.97965,                0.96889,                0.65656,                 1.1502,                0.68194,                 1.3196,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.2617,                0.87754,                 1.4466,                 0.9512,                0.96329,                0.97653,                0.62387,                 1.2682,                0.70658,                 1.3875,               0.008614,               0.008614,               0.008614
                     73,                 1.2639,                0.88184,                 1.4345,                 0.9536,                0.95599,                0.96476,                 0.6438,                 1.1489,                0.68902,                 1.3264,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.2775,                0.90157,                 1.4396,                0.95459,                0.95058,                0.96727,                0.64422,                 1.1935,                0.74225,                 1.3637,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.2702,                0.85131,                  1.447,                0.94684,                0.96512,                0.97186,                0.64212,                 1.2073,                0.68355,                 1.3254,              0.0085546,              0.0085546,              0.0085546
                     76,                  1.269,                0.87692,                  1.416,                0.94778,                0.96802,                0.96366,                0.62976,                 1.1899,                0.70906,                 1.3532,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.2708,                0.87077,                 1.4476,                0.96966,                0.97674,                0.98144,                0.65507,                 1.1709,                0.67147,                 1.3408,               0.008515,               0.008515,               0.008515
                     78,                 1.2658,                 0.8712,                 1.4415,                0.92954,                 0.9593,                0.96105,                0.63889,                 1.1986,                0.69486,                  1.352,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.2633,                0.82531,                  1.427,                0.95955,                0.96544,                0.97613,                0.65151,                 1.1989,                0.66838,                 1.3589,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.2589,                0.86443,                 1.4321,                0.95944,                 0.9628,                0.97261,                0.65532,                 1.1945,                0.66599,                 1.3807,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.2507,                0.83642,                 1.4073,                0.95618,                 0.9593,                0.97286,                0.65789,                 1.1844,                0.64785,                 1.3374,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.2616,                0.83855,                 1.4303,                0.97014,                0.94455,                0.97637,                0.65579,                  1.193,                0.67905,                 1.3522,               0.008416,               0.008416,               0.008416
                     83,                 1.2584,                0.86548,                 1.4355,                0.95394,                0.96325,                0.97129,                 0.6633,                 1.1526,                0.68832,                 1.3331,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.2721,                0.86429,                 1.4148,                0.96644,                0.95058,                0.97527,                0.64296,                 1.1951,                 0.6755,                  1.336,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.2431,                0.83458,                 1.4047,                0.94845,                0.96263,                0.97433,                0.64316,                 1.1859,                0.64817,                 1.3643,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.2573,                0.87006,                 1.4232,                0.95716,                0.97423,                0.97586,                0.66818,                 1.1548,                0.63605,                 1.3462,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.2753,                0.84749,                  1.418,                0.96002,                0.97729,                 0.9773,                0.66888,                 1.1292,                0.66486,                 1.3225,               0.008317,               0.008317,               0.008317
                     88,                 1.2311,                 0.8266,                  1.401,                0.94471,                0.97093,                0.97802,                0.65135,                 1.1669,                 0.6687,                 1.3412,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.2389,                0.85312,                 1.3983,                0.95991,                0.96221,                0.97468,                0.63611,                 1.2185,                0.63349,                 1.3719,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.2518,                0.81969,                 1.4111,                0.94837,                0.97965,                0.98369,                0.65373,                 1.2019,                0.66527,                 1.3501,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.2834,                0.84688,                 1.4225,                 0.9706,                0.94767,                0.98302,                0.66807,                 1.1744,                0.63791,                 1.3389,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.2526,                0.84149,                 1.4243,                0.96221,                0.97674,                0.98141,                 0.6624,                 1.1842,                0.67004,                 1.3356,               0.008218,               0.008218,               0.008218
                     93,                 1.2573,                 0.8361,                 1.4288,                0.96702,                0.97384,                0.98523,                 0.6558,                 1.1889,                0.63712,                 1.3293,              0.0081982,              0.0081982,              0.0081982
                     94,                 1.2263,                0.81587,                 1.4151,                0.95417,                0.96833,                0.98552,                0.66956,                  1.157,                0.61763,                 1.3108,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.2436,                0.84683,                  1.408,                0.95372,                0.95842,                0.98235,                 0.6573,                 1.1615,                0.67255,                 1.3353,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.2325,                0.81952,                 1.4213,                0.95966,                0.96815,                0.96926,                0.66204,                 1.1942,                0.62183,                 1.3512,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.2046,                0.80386,                 1.3826,                0.94908,                0.97523,                0.98237,                0.67998,                 1.1514,                 0.5919,                  1.294,               0.008119,               0.008119,               0.008119
                     98,                 1.2232,                  0.814,                  1.402,                0.96482,                0.95656,                 0.9791,                0.65628,                 1.1787,                0.64191,                 1.3226,              0.0080992,              0.0080992,              0.0080992
                     99,                 1.2288,                0.80865,                 1.3981,                0.95052,                0.97384,                0.98413,                 0.6568,                 1.1706,                0.63183,                  1.324,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.2256,                 0.8108,                 1.3688,                0.95777,                0.96512,                0.97391,                0.65103,                 1.2249,                0.67181,                 1.3693,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.2054,                0.83176,                 1.4065,                 0.9626,                0.97269,                0.98439,                0.66524,                 1.1754,                0.63839,                 1.3408,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.2185,                0.81221,                 1.3926,                0.96284,                0.97916,                0.97895,                0.65991,                 1.1568,                0.66336,                 1.3284,                0.00802,                0.00802,                0.00802
                    103,                 1.2231,                0.81607,                 1.4076,                0.96096,                0.96221,                0.98097,                0.65798,                 1.1941,                0.62003,                 1.3113,              0.0080002,              0.0080002,              0.0080002
                    104,                 1.1899,                0.81811,                  1.368,                0.95731,                0.97774,                0.97744,                0.65874,                 1.1715,                0.63304,                  1.322,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.2033,                0.79256,                 1.3818,                0.95491,                0.96221,                 0.9739,                0.65877,                 1.1751,                0.63817,                 1.3311,              0.0079606,              0.0079606,              0.0079606
                    106,                 1.2201,                0.81696,                 1.3836,                0.96913,                0.96221,                0.98114,                0.65526,                 1.1707,                0.68889,                 1.3331,              0.0079408,              0.0079408,              0.0079408
                    107,                 1.2122,                0.80598,                 1.3873,                0.96255,                 0.9712,                0.98123,                0.67078,                 1.1733,                 0.6113,                 1.3327,               0.007921,               0.007921,               0.007921
                    108,                 1.2196,                0.81413,                 1.3981,                0.96814,                0.97384,                0.97615,                0.66761,                  1.133,                0.65291,                 1.3083,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.1941,                 0.7979,                 1.3687,                0.96959,                0.96802,                0.97505,                0.66266,                 1.1312,                0.63969,                 1.3083,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.2074,                0.82338,                 1.3611,                0.96545,                0.97476,                0.97585,                0.65437,                 1.1683,                 0.6367,                  1.328,              0.0078616,              0.0078616,              0.0078616
                    111,                 1.2138,                0.82599,                 1.4023,                0.95977,                0.97086,                0.98024,                0.64134,                 1.1664,                  0.663,                 1.3248,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.2197,                0.76955,                 1.3895,                 0.9582,                 0.9593,                0.97933,                0.65376,                 1.1621,                0.64057,                 1.3236,               0.007822,               0.007822,               0.007822
                    113,                 1.2238,                0.79769,                 1.3853,                0.95791,                0.96802,                0.97344,                0.65544,                  1.143,                0.64659,                 1.3232,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.2181,                0.80071,                 1.3796,                0.96016,                0.97674,                0.97524,                0.66152,                 1.1617,                0.65111,                 1.3104,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.2103,                0.80976,                 1.3709,                0.95039,                0.97384,                0.97318,                0.66381,                 1.1572,                0.65471,                 1.3164,              0.0077626,              0.0077626,              0.0077626
                    116,                 1.2005,                0.80602,                 1.3867,                0.96732,                0.96221,                0.97772,                0.66484,                 1.1297,                0.65638,                 1.3194,              0.0077428,              0.0077428,              0.0077428
                    117,                  1.221,                0.81631,                 1.3808,                0.96887,                0.97965,                0.98069,                0.67194,                 1.1235,                0.65573,                 1.3036,               0.007723,               0.007723,               0.007723
                    118,                 1.1922,                0.78453,                 1.3893,                0.95451,                0.97606,                0.97918,                0.67559,                 1.1369,                0.62035,                 1.3112,              0.0077032,              0.0077032,              0.0077032
                    119,                 1.1922,                0.76616,                 1.3669,                0.95264,                0.96802,                  0.978,                0.67371,                 1.1309,                0.60555,                 1.3046,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.1839,                0.83514,                 1.3528,                0.95247,                0.96512,                0.98293,                0.65876,                 1.1625,                0.63299,                 1.3366,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.2065,                0.75216,                 1.3732,                 0.9624,                0.96731,                0.97391,                0.64326,                 1.1668,                0.62047,                 1.3251,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.2127,                 0.7808,                 1.3891,                0.96436,                0.96221,                0.98197,                0.66929,                 1.1668,                0.64318,                   1.33,               0.007624,               0.007624,               0.007624
                    123,                 1.1974,                0.80856,                 1.3764,                0.96498,                0.96112,                0.97594,                0.65044,                 1.1763,                0.66409,                 1.3287,              0.0076042,              0.0076042,              0.0076042
                    124,                  1.194,                0.78292,                 1.3643,                0.96316,                0.97384,                0.98182,                0.67404,                 1.1351,                0.60415,                 1.2918,              0.0075844,              0.0075844,              0.0075844
                    125,                  1.204,                0.78595,                 1.3719,                0.96514,                0.97965,                0.97698,                0.65725,                 1.1334,                0.62945,                 1.2954,              0.0075646,              0.0075646,              0.0075646
                    126,                 1.1734,                0.78842,                 1.3653,                0.95944,                0.97965,                0.97958,                0.66576,                 1.1226,                0.63695,                 1.2973,              0.0075448,              0.0075448,              0.0075448
                    127,                 1.2264,                0.79868,                 1.3718,                0.96537,                0.97257,                0.98008,                0.66879,                 1.1499,                0.64809,                 1.3152,               0.007525,               0.007525,               0.007525
                    128,                 1.1901,                0.78907,                 1.3719,                0.95225,                0.98545,                0.97737,                0.67224,                 1.1631,                0.61092,                 1.3107,              0.0075052,              0.0075052,              0.0075052
                    129,                 1.1632,                0.75812,                 1.3603,                 0.9691,                0.96221,                0.97765,                 0.6624,                 1.1477,                0.63249,                 1.3028,              0.0074854,              0.0074854,              0.0074854
                    130,                 1.2234,                0.78976,                  1.391,                0.94395,                0.97965,                0.97716,                0.66257,                 1.1237,                0.63776,                 1.2951,              0.0074656,              0.0074656,              0.0074656
                    131,                 1.1858,                0.77068,                  1.373,                  0.962,                0.95675,                0.97878,                0.66068,                 1.1738,                0.63155,                 1.3204,              0.0074458,              0.0074458,              0.0074458
                    132,                 1.1843,                0.77215,                  1.351,                0.97068,                0.96802,                0.98426,                0.67873,                 1.1358,                0.62034,                 1.2991,               0.007426,               0.007426,               0.007426
                    133,                 1.1897,                0.76161,                 1.3622,                0.97601,                0.94596,                0.98397,                0.65693,                 1.1521,                0.61181,                 1.3223,              0.0074062,              0.0074062,              0.0074062
                    134,                 1.2037,                0.78823,                 1.3749,                0.94631,                0.97359,                0.97472,                0.66171,                 1.1598,                0.59843,                 1.2957,              0.0073864,              0.0073864,              0.0073864
                    135,                 1.1837,                0.78084,                 1.3532,                0.96543,                0.97419,                0.97706,                 0.6558,                 1.1751,                 0.6214,                 1.3121,              0.0073666,              0.0073666,              0.0073666
                    136,                  1.157,                0.77434,                 1.3555,                0.96842,                0.96221,                0.98445,                0.68021,                 1.1462,                0.61628,                 1.3304,              0.0073468,              0.0073468,              0.0073468
                    137,                 1.1404,                0.77757,                  1.328,                 0.9569,                0.97674,                0.97884,                0.68132,                 1.1219,                0.61625,                  1.303,               0.007327,               0.007327,               0.007327
                    138,                  1.195,                 0.7741,                 1.3746,                0.96498,                0.96221,                0.97976,                0.67128,                 1.1541,                0.61902,                 1.3105,              0.0073072,              0.0073072,              0.0073072
                    139,                 1.1651,                0.73304,                 1.3513,                0.95572,                0.97674,                0.97996,                0.65724,                 1.1435,                 0.6094,                 1.3153,              0.0072874,              0.0072874,              0.0072874
                    140,                 1.1388,                0.82321,                 1.3182,                0.95176,                0.97507,                0.97643,                0.67314,                 1.1813,                0.58998,                 1.3064,              0.0072676,              0.0072676,              0.0072676
                    141,                 1.1753,                  0.739,                 1.3637,                0.95698,                0.97965,                0.98457,                0.66778,                  1.177,                0.58215,                 1.3441,              0.0072478,              0.0072478,              0.0072478
                    142,                 1.1709,                0.75529,                 1.3475,                0.95758,                0.98421,                0.98119,                0.66261,                 1.1895,                0.57123,                 1.3204,               0.007228,               0.007228,               0.007228
                    143,                 1.1891,                0.76113,                 1.3462,                0.95721,                0.98256,                0.98038,                0.66664,                 1.1523,                0.62656,                 1.3059,              0.0072082,              0.0072082,              0.0072082
                    144,                 1.1651,                0.76468,                 1.3543,                0.97152,                0.97384,                0.98266,                0.67352,                 1.1857,                0.58184,                 1.3264,              0.0071884,              0.0071884,              0.0071884
                    145,                 1.2068,                0.74208,                 1.3501,                0.97403,                0.98126,                0.98104,                0.67064,                 1.1429,                0.59934,                 1.3007,              0.0071686,              0.0071686,              0.0071686
                    146,                 1.1785,                0.72891,                 1.3572,                0.95932,                0.98256,                0.98115,                0.66608,                 1.1701,                0.58542,                  1.315,              0.0071488,              0.0071488,              0.0071488
                    147,                 1.1395,                0.75881,                 1.3172,                0.96263,                0.97348,                0.97666,                0.65422,                 1.1745,                0.60764,                 1.3307,               0.007129,               0.007129,               0.007129
                    148,                 1.1799,                0.74778,                  1.352,                0.97387,                0.97493,                0.98418,                0.66779,                  1.151,                0.57969,                  1.316,              0.0071092,              0.0071092,              0.0071092
                    149,                 1.1887,                0.77324,                 1.3599,                 0.9593,                 0.9564,                0.98543,                0.67299,                 1.1209,                0.60824,                 1.2809,              0.0070894,              0.0070894,              0.0070894
                    150,                 1.1665,                0.74683,                 1.3554,                0.96844,                0.98121,                0.98009,                0.67344,                 1.1332,                0.60809,                 1.3075,              0.0070696,              0.0070696,              0.0070696
                    151,                 1.1665,                0.74647,                 1.3658,                0.94407,                0.98129,                0.98204,                0.67477,                 1.1212,                0.60642,                 1.3028,              0.0070498,              0.0070498,              0.0070498
                    152,                 1.1314,                0.73432,                 1.3233,                0.97253,                0.96802,                0.98326,                0.67981,                 1.1325,                0.60484,                 1.3242,                0.00703,                0.00703,                0.00703
                    153,                 1.1687,                0.74174,                  1.352,                0.95755,                0.97965,                 0.9806,                 0.6749,                 1.1461,                0.61532,                 1.3055,              0.0070102,              0.0070102,              0.0070102
                    154,                 1.1535,                0.74599,                 1.3436,                0.94945,                 0.9828,                0.97617,                0.68006,                 1.1144,                0.62676,                 1.2874,              0.0069904,              0.0069904,              0.0069904
